Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2021-01-01;51.175,85;3581496519026;53.303,50;4663530110614;54.549,80;5714127517557;52.716,06;1109104687899;49.597,28;465560638651;53.997,96;3580669498330;55.032,61;37822510937
2021-01-02;51.175,85;3581496519026;53.303,50;4663530110614;54.549,80;5714127517557;52.716,06;1109104687899;49.597,28;465560638651;53.997,96;3580669498330;55.032,61;37822510937
2021-01-03;51.175,85;3581496519026;53.303,50;4663530110614;54.549,80;5714127517557;52.716,06;1109104687899;49.597,28;465560638651;53.997,96;3580669498330;55.032,61;37822510937
2021-01-04;51.372,56;3619931179790;53.511,02;4689536004280;54.739,13;5737856091832;52.915,86;1110466568677;49.792,76;467828157525;54.206,27;3575194631693;55.204,70;38267059389
2021-01-05;51.230,74;3617535996678;53.367,13;4682118825693;54.572,20;5731788826536;52.724,63;1108869942136;49.650,69;466653108824;54.024,05;3563888769593;55.017,39;38279126399
2021-01-06;51.532,37;3639071764329;53.650,46;4706018421191;54.882,75;5751239445813;53.009,34;1111561061251;49.914,35;468512660033;54.301,74;3567475001375;55.347,26;38520832154
2021-01-07;51.557,89;3628352287450;53.692,24;4705228086298;54.897,77;5752077867627;53.026,70;1111080038299;49.925,34;468127904507;54.279,83;3566466463035;55.401,17;38525825432
2021-01-08;52.743,07;3709658986807;54.877,66;4806804004258;56.099,16;5864013293243;54.242,12;1133692465359;51.053,38;477365517636;55.499,13;3645683331091;56.601,80;39279598826
2021-01-09;52.743,07;3709658986807;54.877,66;4806804004258;56.099,16;5864013293243;54.242,12;1133692465359;51.053,38;477365517636;55.499,13;3645683331091;56.601,80;39279598826
2021-01-10;52.743,07;3709658986807;54.877,66;4806804004258;56.099,16;5864013293243;54.242,12;1133692465359;51.053,38;477365517636;55.499,13;3645683331091;56.601,80;39279598826
2021-01-11;53.313,77;3756243233345;55.495,97;4868302511242;56.726,89;5929464969445;54.857,95;1143754751143;51.626,52;482484192729;56.114,42;3696437334524;57.244,39;39583001373
2021-01-12;53.438,54;3950512872073;55.603,77;5100762562621;56.853,04;6242199725192;54.997,24;1204679302632;51.741,51;508020670570;56.235,48;3855786627752;57.400,39;41672381549
2021-01-13;54.195,49;4200987764801;56.259,97;5359137366819;57.603,73;6621330494537;55.733,34;1279951713470;52.351,98;528608926740;56.961,94;3970937361969;58.198,76;44368718159
2021-01-14;54.989,16;4339104295253;57.092,03;5474896530138;58.440,05;6881215633015;56.506,81;1361200951937;53.154,83;540976936569;57.828,83;4057112553091;59.089,48;47039069876
