Fecha;FONDO A;FONDO B;FONDO C;FONDO D;FONDO E
01-01-2015;32.370,29;29.835,05;62.481,58;25.890,76;54.351,70
02-01-2015;32.317,97;29.809,36;62.453,54;25.878,18;54.336,68
03-01-2015;32.317,97;29.809,36;62.453,54;25.878,18;54.336,68
04-01-2015;32.317,97;29.809,36;62.453,54;25.878,18;54.336,68
05-01-2015;32.515,99;29.943,89;62.640,94;25.920,34;54.340,52
06-01-2015;32.314,83;29.819,77;62.488,08;25.892,90;54.335,27
07-01-2015;32.019,38;29.620,14;62.204,81;25.827,10;54.331,39
08-01-2015;32.117,26;29.669,93;62.228,92;25.830,43;54.342,06
09-01-2015;32.431,54;29.857,65;62.473,93;25.896,14;54.380,77
10-01-2015;32.431,54;29.857,65;62.473,93;25.896,14;54.380,77
11-01-2015;32.431,54;29.857,65;62.473,93;25.896,14;54.380,77
12-01-2015;32.434,10;29.881,94;62.535,48;25.912,78;54.383,65
13-01-2015;32.442,74;29.892,60;62.571,31;25.920,75;54.366,17
14-01-2015;32.543,62;29.964,19;62.679,48;25.947,85;54.383,79
15-01-2015;32.681,47;30.058,55;62.846,97;26.008,35;54.448,83
16-01-2015;32.593,41;30.006,06;62.786,23;25.998,58;54.443,58
17-01-2015;32.593,41;30.006,06;62.786,23;25.998,58;54.443,58
18-01-2015;32.593,41;30.006,06;62.786,23;25.998,58;54.443,58
19-01-2015;32.800,15;30.131,20;62.957,53;26.057,14;54.497,32
20-01-2015;32.877,11;30.173,01;63.029,21;26.084,57;54.514,97
21-01-2015;32.872,49;30.192,46;63.074,03;26.099,28;54.539,18
22-01-2015;33.113,42;30.359,87;63.299,94;26.144,21;54.544,47
23-01-2015;33.310,24;30.501,29;63.523,18;26.197,64;54.611,75
24-01-2015;33.310,24;30.501,29;63.523,18;26.197,64;54.611,75
25-01-2015;33.310,24;30.501,29;63.523,18;26.197,64;54.611,75
26-01-2015;33.402,72;30.586,38;63.674,02;26.237,15;54.622,46
27-01-2015;33.376,01;30.563,14;63.648,45;26.239,10;54.623,48
28-01-2015;33.238,47;30.486,71;63.564,38;26.225,20;54.627,00
29-01-2015;33.081,76;30.409,18;63.483,39;26.212,52;54.646,04
30-01-2015;33.194,87;30.486,11;63.622,12;26.273,57;54.727,57
31-01-2015;33.194,87;30.486,11;63.622,12;26.273,57;54.727,57
01-02-2015;33.194,87;30.486,11;63.622,12;26.273,57;54.727,57
02-02-2015;33.145,92;30.462,63;63.618,86;26.278,50;54.733,58
03-02-2015;33.296,37;30.575,95;63.788,17;26.328,15;54.798,24
04-02-2015;33.405,20;30.655,03;63.898,76;26.343,41;54.836,15
05-02-2015;33.440,55;30.691,17;63.960,41;26.355,48;54.841,84
06-02-2015;33.459,64;30.706,41;63.992,63;26.375,40;54.879,57
07-02-2015;33.459,64;30.706,41;63.992,63;26.375,40;54.879,57
08-02-2015;33.459,64;30.706,41;63.992,63;26.375,40;54.879,57
09-02-2015;33.323,80;30.621,04;63.892,94;26.357,89;54.907,47
10-02-2015;33.274,82;30.585,88;63.849,32;26.356,62;54.919,38
11-02-2015;33.355,38;30.622,09;63.894,99;26.379,36;54.960,84
12-02-2015;33.367,41;30.636,80;63.928,89;26.382,26;54.956,72
13-02-2015;33.554,28;30.772,20;64.150,00;26.441,34;54.996,92
14-02-2015;33.554,28;30.772,20;64.150,00;26.441,34;54.996,92
15-02-2015;33.554,28;30.772,20;64.150,00;26.441,34;54.996,92
16-02-2015;33.512,64;30.745,36;64.115,15;26.432,08;55.007,89
17-02-2015;33.540,82;30.774,28;64.157,21;26.440,57;55.022,90
18-02-2015;33.532,15;30.757,72;64.126,58;26.438,86;55.036,18
19-02-2015;33.607,45;30.816,34;64.228,01;26.471,21;55.056,83
20-02-2015;33.635,98;30.841,33;64.274,52;26.481,34;55.049,67
21-02-2015;33.635,98;30.841,33;64.274,52;26.481,34;55.049,67
22-02-2015;33.635,98;30.841,33;64.274,52;26.481,34;55.049,67
23-02-2015;33.584,55;30.798,50;64.207,74;26.470,48;55.053,25
24-02-2015;33.735,26;30.909,07;64.380,85;26.511,43;55.070,17
25-02-2015;33.837,69;30.969,47;64.478,57;26.542,31;55.098,82
