Fecha;FONDO A;FONDO B;FONDO C;FONDO D;FONDO E
01-01-2015;32370.29;29835.05;62481.58;25890.76;54351.70
02-01-2015;32317.97;29809.36;62453.54;25878.18;54336.68
03-01-2015;32317.97;29809.36;62453.54;25878.18;54336.68
04-01-2015;32317.97;29809.36;62453.54;25878.18;54336.68
05-01-2015;32515.99;29943.89;62640.94;25920.34;54340.52
06-01-2015;32314.83;29819.77;62488.08;25892.90;54335.27
07-01-2015;32019.38;29620.14;62204.81;25827.10;54331.39
08-01-2015;32117.26;29669.93;62228.92;25830.43;54342.06
09-01-2015;32431.54;29857.65;62473.93;25896.14;54380.77
10-01-2015;32431.54;29857.65;62473.93;25896.14;54380.77
11-01-2015;32431.54;29857.65;62473.93;25896.14;54380.77
12-01-2015;32434.10;29881.94;62535.48;25912.78;54383.65
13-01-2015;32442.74;29892.60;62571.31;25920.75;54366.17
14-01-2015;32543.62;29964.19;62679.48;25947.85;54383.79
15-01-2015;32681.47;30058.55;62846.97;26008.35;54448.83
16-01-2015;32593.41;30006.06;62786.23;25998.58;54443.58
17-01-2015;32593.41;30006.06;62786.23;25998.58;54443.58
18-01-2015;32593.41;30006.06;62786.23;25998.58;54443.58
19-01-2015;32800.15;30131.20;62957.53;26057.14;54497.32
20-01-2015;32877.11;30173.01;63029.21;26084.57;54514.97
21-01-2015;32872.49;30192.46;63074.03;26099.28;54539.18
22-01-2015;33113.42;30359.87;63299.94;26144.21;54544.47
23-01-2015;33310.24;30501.29;63523.18;26197.64;54611.75
24-01-2015;33310.24;30501.29;63523.18;26197.64;54611.75
25-01-2015;33310.24;30501.29;63523.18;26197.64;54611.75
26-01-2015;33402.72;30586.38;63674.02;26237.15;54622.46
27-01-2015;33376.01;30563.14;63648.45;26239.10;54623.48
28-01-2015;33238.47;30486.71;63564.38;26225.20;54627.00
29-01-2015;33081.76;30409.18;63483.39;26212.52;54646.04
30-01-2015;33194.87;30486.11;63622.12;26273.57;54727.57
31-01-2015;33194.87;30486.11;63622.12;26273.57;54727.57
01-02-2015;33194.87;30486.11;63622.12;26273.57;54727.57
02-02-2015;33145.92;30462.63;63618.86;26278.50;54733.58
03-02-2015;33296.37;30575.95;63788.17;26328.15;54798.24
04-02-2015;33405.20;30655.03;63898.76;26343.41;54836.15
05-02-2015;33440.55;30691.17;63960.41;26355.48;54841.84
06-02-2015;33459.64;30706.41;63992.63;26375.40;54879.57
07-02-2015;33459.64;30706.41;63992.63;26375.40;54879.57
08-02-2015;33459.64;30706.41;63992.63;26375.40;54879.57
09-02-2015;33323.80;30621.04;63892.94;26357.89;54907.47
10-02-2015;33274.82;30585.88;63849.32;26356.62;54919.38
11-02-2015;33355.38;30622.09;63894.99;26379.36;54960.84
12-02-2015;33367.41;30636.80;63928.89;26382.26;54956.72
13-02-2015;33554.28;30772.20;64150.00;26441.34;54996.92
14-02-2015;33554.28;30772.20;64150.00;26441.34;54996.92
15-02-2015;33554.28;30772.20;64150.00;26441.34;54996.92
16-02-2015;33512.64;30745.36;64115.15;26432.08;55007.89
17-02-2015;33540.82;30774.28;64157.21;26440.57;55022.90
18-02-2015;33532.15;30757.72;64126.58;26438.86;55036.18
19-02-2015;33607.45;30816.34;64228.01;26471.21;55056.83
20-02-2015;33635.98;30841.33;64274.52;26481.34;55049.67
21-02-2015;33635.98;30841.33;64274.52;26481.34;55049.67
22-02-2015;33635.98;30841.33;64274.52;26481.34;55049.67
23-02-2015;33584.55;30798.50;64207.74;26470.48;55053.25
24-02-2015;33735.26;30909.07;64380.85;26511.43;55070.17
25-02-2015;33837.69;30969.47;64478.57;26542.31;55098.82
26-02-2015;33749.97;30904.56;64381.74;26523.10;55097.41
27-02-2015;33679.12;30864.18;64336.04;26517.50;55109.60
28-02-2015;33679.12;30864.18;64336.04;26517.50;55109.60
01-03-2015;33679.12;30864.18;64336.04;26517.50;55109.60
02-03-2015;33718.47;30902.49;64404.76;26541.45;55128.01
03-03-2015;33712.30;30887.42;64374.06;26537.02;55133.24
04-03-2015;33672.13;30872.28;64361.22;26529.01;55120.86
05-03-2015;33598.40;30832.98;64319.17;26521.39;55122.59
06-03-2015;33540.26;30788.65;64272.43;26530.61;55146.97
